Time;alcohol;chlorides;citric acid;density;fixed acidity;free sulfur dioxide;pH;quality;residual sugar;sulphates;total sulfur dioxide;volatile acidity
0;9,4;0,076;0;0,9978;7,4;11;3,51;5;1,9;0,56;34;0,7
1;9,8;0,098;0;0,9968;7,8;25;3,2;5;2,6;0,68;67;0,88
2;9,8;0,092;0,04;0,997;7,8;15;3,26;5;2,3;0,65;54;0,76
3;9,8;0,075;0,56;0,998;11,2;17;3,16;6;1,9;0,58;60;0,28
4;9,4;0,076;0;0,9978;7,4;11;3,51;5;1,9;0,56;34;0,7
5;9,4;0,075;0;0,9978;7,4;13;3,51;5;1,8;0,56;40;0,66
6;9,4;0,069;0,06;0,9964;7,9;15;3,3;5;1,6;0,46;59;0,6
7;10;0,065;0;0,9946;7,3;15;3,39;7;1,2;0,47;21;0,65
8;9,5;0,073;0,02;0,9968;7,8;9;3,36;7;2;0,57;18;0,58
9;10,5;0,071;0,36;0,9978;7,5;17;3,35;5;6,1;0,8;102;0,5
10;9,2;0,097;0,08;0,9959;6,7;15;3,28;5;1,8;0,54;65;0,58
11;10,5;0,071;0,36;0,9978;7,5;17;3,35;5;6,1;0,8;102;0,5
12;9,9;0,089;0;0,9943;5,6;16;3,58;5;1,6;0,52;59;0,615
13;9,1;0,114;0,29;0,9974;7,8;9;3,26;5;1,6;1,56;29;0,61
14;9,2;0,176;0,18;0,9986;8,9;52;3,16;5;3,8;0,88;145;0,62
15;9,2;0,17;0,19;0,9986;8,9;51;3,17;5;3,9;0,93;148;0,62
16;10,5;0,092;0,56;0,9969;8,5;35;3,3;7;1,8;0,75;103;0,28
17;9,3;0,368;0,28;0,9968;8,1;16;3,11;5;1,7;1,28;56;0,56
18;9;0,086;0,08;0,9974;7,4;6;3,38;4;4,4;0,5;29;0,59
19;9,2;0,341;0,51;0,9969;7,9;17;3,04;6;1,8;1,08;56;0,32
20;9,4;0,077;0,48;0,9968;8,9;29;3,39;6;1,8;0,53;60;0,22
21;9,7;0,082;0,31;0,9982;7,6;23;3,52;5;2,3;0,65;71;0,39
22;9,5;0,106;0,21;0,9966;7,9;10;3,17;5;1,6;0,91;37;0,43
23;9,4;0,084;0,11;0,9968;8,5;9;3,17;5;2,3;0,53;67;0,49
24;9,7;0,085;0,14;0,9968;6,9;21;3,43;6;2,4;0,63;40;0,4
25;9,3;0,08;0,16;0,9955;6,3;11;3,34;5;1,4;0,56;23;0,39
26;9,5;0,08;0,24;0,9962;7,6;4;3,28;5;1,8;0,59;11;0,41
27;9,5;0,106;0,21;0,9966;7,9;10;3,17;5;1,6;0,91;37;0,43
28;9,4;0,08;0;0,9972;7,1;14;3,47;5;1,9;0,55;35;0,71
29;9,8;0,082;0;0,9964;7,8;8;3,38;6;2;0,59;16;0,645
30;10,1;0,089;0,07;0,9958;6,7;17;3,35;5;2,4;0,54;82;0,675
31;10,6;0,105;0;0,9966;6,9;22;3,46;6;2,5;0,57;37;0,685
32;9,8;0,083;0,12;0,9966;8,3;15;3,17;5;2,3;0,66;113;0,655
33;9,4;0,073;0,12;0,9993;6,9;40;3,45;6;10,7;0,52;83;0,605
34;9,2;0,103;0,25;0,9957;5,2;13;3,38;5;1,8;0,55;50;0,32
35;9,6;0,086;0;0,9986;7,8;5;3,4;6;5,5;0,55;18;0,645
36;10,8;0,086;0,14;0,9975;7,8;3;3,42;6;2,4;0,6;15;0,6
37;9,7;0,066;0,28;0,9968;8,1;13;3,23;7;2,1;0,73;30;0,38
38;9,8;0,172;0,09;0,994;5,7;7;3,5;4;1,5;0,48;19;1,13
39;10,5;0,074;0,36;0,9978;7,3;12;3,33;5;5,9;0,83;87;0,45
40;10,5;0,074;0,36;0,9978;7,3;12;3,33;5;5,9;0,83;87;0,45
41;9,3;0,088;0,3;0,9976;8,8;17;3,26;4;2,8;0,51;46;0,61
42;10,5;0,332;0,2;0,9968;7,5;8;3,21;6;2,6;0,9;14;0,49
43;10,3;0,069;0,22;0,9968;8,1;9;3,3;5;2,2;1,2;23;0,66
44;9,5;0,05;0,02;0,9962;6,8;5;3,48;5;1,8;0,52;11;0,67
45;13,1;0,054;0,15;0,9934;4,6;8;3,9;4;2,1;0,56;65;0,52
46;9,2;0,114;0,43;0,997;7,7;22;3,25;5;2,2;0,73;114;0,935
47;9,5;0,113;0,52;0,9969;8,7;12;3,25;5;1,6;0,58;37;0,29
48;9,2;0,066;0,23;0,9958;6,4;5;3,34;5;1,6;0,56;12;0,4
49;9,2;0,074;0,37;0,9954;5,6;12;3,32;5;1,4;0,58;96;0,31
50;9,2;0,074;0,26;0,9971;8,8;4;3,15;5;1,7;0,74;23;0,66
51;9,4;0,069;0,04;0,9956;6,6;8;3,4;6;2,2;0,63;15;0,52
52;9,4;0,068;0,04;0,9955;6,6;6;3,39;6;2,1;0,64;14;0,5
53;9,4;0,081;0,36;0,997;8,6;30;3,2;5;3;0,56;119;0,38
54;10,2;0,11;0,15;0,9955;7,6;33;3,17;6;2,8;0,63;73;0,51
55;9,5;0,084;0,04;0,9978;7,7;25;3,34;5;3,8;0,53;45;0,62
56;9,6;0,07;0,57;0,9971;10,2;4;3,04;5;3,4;0,63;10;0,42
57;9,4;0,111;0,12;0,9983;7,5;50;3,26;5;5,1;0,77;110;0,63
58;10;0,076;0,18;0,9975;7,8;17;3,43;5;2,3;0,59;54;0,59
59;9,4;0,074;0,31;0,9962;7,3;9;3,41;6;2,4;0,54;46;0,39
60;9,2;0,079;0,4;0,998;8,8;19;3,44;5;2,2;0,64;52;0,4
61;9,3;0,115;0,49;0,9968;7,7;20;3,21;5;1,8;0,71;112;0,69
62;9,5;0,085;0,16;0,9968;7,5;12;3,38;7;1,9;0,62;35;0,52
63;9,8;0,081;0,05;0,9966;7;13;3,39;5;2;0,57;54;0,735
64;10,9;0,086;0,05;0,9962;7,2;4;3,41;5;4,65;0,39;11;0,725
65;10,9;0,086;0,05;0,9962;7,2;4;3,41;5;4,65;0,39;11;0,725
66;9,6;0,079;0,11;0,9968;7,5;11;3,42;5;1,5;0,58;39;0,52
67;10,7;0,076;0,07;0,9962;6,6;6;3,44;5;1,6;0,58;15;0,705
68;10,7;0,074;0,57;0,9969;9,3;27;3,28;5;2;0,79;65;0,32
69;10,5;0,074;0,05;0,9962;8;8;3,34;6;1,9;0,95;19;0,705
70;9,5;0,076;0,08;0,9967;7,7;15;3,32;6;1,9;0,54;27;0,63
71;9,5;0,088;0,23;0,9962;7,7;17;3,32;5;2,1;0,48;96;0,67
72;9,5;0,084;0,22;0,9961;7,7;18;3,31;5;1,9;0,48;94;0,69
73;9,2;0,084;0,26;0,9976;8,3;11;3,31;4;2,1;0,53;43;0,675
74;9,6;0,094;0,54;0,9984;9,7;28;3,28;5;2,5;0,82;83;0,32
75;10,5;0,093;0,64;0,9986;8,8;9;3,54;5;2,2;0,66;42;0,41
76;10,5;0,093;0,64;0,9986;8,8;9;3,54;5;2,2;0,66;42;0,41
77;10,7;0,104;0;0,9966;6,8;14;3,52;6;2,4;0,55;30;0,785
78;10,1;0,086;0,12;0,9958;6,7;12;3,38;5;2;0,52;80;0,75
79;9,1;0,08;0,2;0,9972;8,3;27;3,16;4;1,5;1,12;119;0,625
80;9,2;0,069;0,2;0,9958;6,2;3;3,41;5;1,6;0,56;15;0,45
81;9,4;0,464;0,7;0,9974;7,8;22;3,13;5;1,9;1,28;67;0,43
82;9,1;0,086;0,47;0,997;7,4;21;3,36;5;2;0,57;73;0,5
83;9,4;0,401;0,26;0,9969;7,3;16;3,16;5;1,8;1,14;51;0,67
84;10,3;0,069;0,48;0,9959;6,3;18;3,44;6;1,8;0,78;61;0,3
85;10,1;0,076;0,15;0,9961;6,9;19;3,41;5;2,2;0,59;40;0,55
86;9,9;0,11;0,28;0,9972;8,6;20;2,93;6;1,9;1,95;136;0,49
87;9,6;0,062;0,26;0,9966;7,7;9;3,39;5;1,9;0,64;31;0,49
88;9,5;0,107;0,44;0,9978;9,3;34;3,14;5;2,1;1,22;125;0,39
89;9;0,076;0,08;0,9978;7;8;3,48;5;1,8;0,53;24;0,62
90;9,5;0,079;0,26;0,9964;7,9;42;3,23;5;1,9;0,54;140;0,52
91;9,9;0,11;0,28;0,9972;8,6;20;2,93;6;1,9;1,95;136;0,49
92;9,8;0,11;0,29;0,9972;8,6;19;2,93;5;2;1,98;133;0,49
93;9,6;0,062;0,26;0,9966;7,7;9;3,39;5;1,9;0,64;31;0,49
94;10,5;0,045;0,04;0,9938;5;41;3,75;4;1,4;0,48;85;1,02
95;12,9;0,058;0,17;0,9932;4,7;17;3,85;6;2,3;0,6;106;0,6
96;10,7;0,102;0;0,9965;6,8;8;3,45;5;3;0,56;23;0,775
97;9,2;0,07;0,25;0,9963;7;3;3,25;5;2;0,63;22;0,5
98;9,8;0,079;0,06;0,9967;7,6;5;3,39;5;2,5;0,56;10;0,9
99;9;0,08;0,18;0,9972;8,1;13;3,3;6;1,9;0,59;35;0,545
100;10,2;0,084;0,3;0,9972;8,3;11;3,4;6;2,1;0,61;50;0,61
101;10,4;0,075;0,3;0,9959;7,8;8;3,31;6;1,9;0,56;22;0,5
102;9;0,08;0,18;0,9972;8,1;13;3,3;6;1,9;0,59;35;0,545
103;9,2;0,077;0,22;0,9967;8,1;12;3,29;5;2,1;0,51;65;0,575
104;9,4;0,07;0,24;0,996;7,2;5;3,33;5;2,2;0,48;36;0,49
105;9,2;0,077;0,22;0,9967;8,1;12;3,29;5;2,1;0,51;65;0,575
106;9,3;0,467;0,68;0,9973;7,8;18;3,08;5;1,7;1,31;69;0,41
107;9,3;0,088;0,31;0,9969;6,2;15;3,46;5;1,7;0,79;64;0,63
108;9,6;0,091;0,53;0,9976;8;18;3,37;6;2,5;0,8;80;0,33
109;9,3;0,122;0,52;0,9969;8,1;37;3,21;5;2;0,69;153;0,785
110;9,5;0,104;0,19;0,9964;7,8;12;3,19;5;1,8;0,93;47;0,56
111;9,8;0,084;0,09;0,9964;8,4;11;3,15;5;2,2;0,66;108;0,62
112;9,8;0,085;0,1;0,9964;8,4;14;3,15;5;2,2;0,66;111;0,6
113;9,7;0,08;0,44;0,9988;10,1;22;3,32;6;2,3;0,67;46;0,31
114;9,5;0,104;0,19;0,9964;7,8;12;3,19;5;1,8;0,93;47;0,56
115;10,5;0,09;0,31;0,9966;9,4;13;3,07;6;2,2;0,63;62;0,4
116;10;0,077;0,28;0,9978;8,3;11;3,39;6;1,9;0,61;40;0,54
117;9,4;0,082;0,12;0,997;7,8;7;3,37;6;2;0,5;28;0,56
118;10,9;0,119;0,04;0,9962;8,8;14;3,21;6;2,2;0,6;56;0,55
119;9,2;0,097;0,08;0,9959;7;22;3,34;6;1,8;0,54;89;0,69
120;9;0,178;0,09;0,9962;7,3;10;3,3;5;1,7;0,57;89;1,07
121;10,9;0,119;0,04;0,9962;8,8;14;3,21;6;2,2;0,6;56;0,55
122;9,2;0,075;0;0,998;7,3;3;3,49;5;2,5;0,52;13;0,695
123;9,5;0,08;0;0,9976;8;11;3,44;5;2,6;0,53;34;0,71
124;9,5;0,082;0,17;0,996;7,8;21;3,39;5;1,6;0,48;102;0,5
125;9,4;0,146;0,04;0,9984;9;27;3,16;5;1,9;0,7;90;0,62
126;10,9;0,081;0;0,9964;8,2;3;3,53;5;1,7;0,49;12;1,33
127;10,9;0,082;0;0,9964;8,1;3;3,54;5;1,8;0,48;12;1,33
128;10,5;0,065;0,16;0,9962;8;3;3,42;7;1,8;0,92;16;0,59
129;9,4;0,072;0,15;0,9955;6,1;6;3,42;5;1,8;0,57;19;0,38
130;9,4;0,118;0,56;0,9968;8;30;3,24;5;2;0,66;134;0,745
131;13;0,049;0,09;0,9937;5,6;17;3,63;5;2,3;0,63;99;0,5
132;13;0,049;0,09;0,9937;5,6;17;3,63;5;2,3;0,63;99;0,5
133;9,8;0,06;0,01;0,9952;6,6;17;3,4;6;1,5;0,58;26;0,5
134;9,9;0,084;0,05;0,9959;7,9;13;3,22;6;2,2;0,55;29;1,04
135;9,6;0,09;0,11;0,9965;8,4;16;3,19;5;1,9;0,82;63;0,745
136;9,5;0,089;0,15;0,9968;8,3;10;3,23;5;1,8;0,77;52;0,715
137;9,2;0,081;0,36;0,9972;7,2;13;3,48;5;2;0,64;45;0,415
138;9,5;0,081;0,19;0,9962;7,8;15;3,33;5;2,1;0,54;105;0,56
139;9,5;0,081;0,19;0,9962;7,8;17;3,32;5;2;0,54;108;0,56
140;9,6;0,09;0,11;0,9965;8,4;16;3,19;5;1,9;0,82;63;0,745
141;9,5;0,089;0,15;0,9968;8,3;10;3,23;5;1,8;0,77;52;0,715
142;14;0,05;0;0,9916;5,2;27;3,68;6;1,8;0,79;63;0,34
143;9,4;0,066;0,08;0,9954;6,3;3;3,34;5;1,7;0,58;20;0,39
144;14;0,05;0;0,9916;5,2;27;3,68;6;1,8;0,79;63;0,34
145;9,4;0,117;0,55;0,9968;8,1;32;3,17;5;1,8;0,62;141;0,67
146;10;0,087;0,02;0,9944;5,8;21;3,54;5;1,8;0,52;94;0,68
147;9,3;0,236;0,26;0,9968;7,6;10;3,11;5;1,6;0,8;88;0,49
148;10,2;0,074;0,1;0,9959;6,9;12;3,42;6;2,3;0,58;30;0,49
149;10,5;0,089;0,44;0,9975;8,2;11;3,53;6;2,8;0,61;43;0,4
150;10,3;0,077;0,47;0,9958;7,3;5;3,33;6;2,1;0,53;11;0,33
151;9,4;0,61;1;0,9996;9,2;32;2,74;4;3,4;2;69;0,52
152;10,1;0,095;0,03;0,995;7,5;25;3,35;5;1,8;0,54;99;0,6
153;10,1;0,095;0,03;0,995;7,5;25;3,35;5;1,8;0,54;99;0,6
154;10,5;0,07;0,42;0,9973;7,1;29;3,42;5;5,5;0,72;129;0,43
155;10,5;0,071;0,42;0,9973;7,1;28;3,42;5;5,5;0,71;128;0,43
156;10,5;0,07;0,42;0,9973;7,1;29;3,42;5;5,5;0,72;129;0,43
157;10,5;0,071;0,42;0,9973;7,1;28;3,42;5;5,5;0,71;128;0,43
158;9,3;0,073;0;0,9969;7,1;12;3,48;5;2,2;0,5;22;0,68
159;9,3;0,079;0,18;0,9968;6,8;18;3,59;6;1,9;0,57;86;0,6
160;9,6;0,09;0,03;0,9959;7,6;7;3,2;5;2;0,56;20;0,95
161;9,2;0,072;0,02;0,9965;7,6;9;3,17;4;1,3;1,08;20;0,68
162;10;0,076;0,04;0,9964;7,8;17;3,33;6;1,7;0,56;31;0,53
163;9,4;0,07;0,26;0,9982;7,4;36;3,37;5;7,3;0,49;121;0,6
164;9,4;0,07;0,26;0,9981;7,3;35;3,37;5;7,2;0,49;121;0,59
165;9,5;0,1;0,48;0,9961;7,8;14;3,19;5;1,7;0,62;96;0,63
166;10,2;0,085;0,1;0,9956;6,8;18;3,34;5;2,1;0,52;101;0,64
167;9;0,072;0,03;0,9956;7,3;17;3,37;4;1,6;0,48;42;0,55
168;10,4;0,089;0,07;0,9953;6,8;11;3,47;6;2,1;0,55;44;0,63
169;9,5;0,36;0,24;0,9964;7,5;15;3;5;1,8;1,59;63;0,705
170;9,1;0,058;0,03;0,9972;7,9;4;3,36;4;1,8;0,33;8;0,885
171;9,2;0,073;0,17;0,9972;8;6;3,29;6;2;0,61;18;0,42
172;9,2;0,073;0,17;0,9972;8;6;3,29;6;2;0,61;18;0,42
173;11,5;0,068;0,05;0,9961;7,4;24;3,42;6;1,9;0,57;42;0,62
174;9,5;0,08;0,21;0,9961;7,3;7;3,33;5;2;0,47;35;0,38
175;9,5;0,085;0,04;0,9958;6,9;19;3,35;5;1,5;0,78;49;0,5
176;9,5;0,08;0,21;0,9961;7,3;7;3,33;5;2;0,47;35;0,38
177;10,5;0,087;0,42;0,9972;7,5;8;3,58;6;2,3;0,61;38;0,52
178;9,6;0,068;0;0,9969;7;7;3,48;5;2,5;0,56;20;0,805
179;9,5;0,067;0,14;0,9969;8,8;10;3,19;5;2,4;0,59;42;0,61
180;9,5;0,067;0,14;0,9969;8,8;10;3,19;5;2,4;0,59;42;0,61
181;9,3;0,27;0,49;0,9972;8,9;23;3,12;5;2;1,02;110;0,61
182;9,3;0,076;0,02;0,9972;7,2;16;3,44;5;2,5;0,52;42;0,73
183;9,3;0,077;0,2;0,9971;6,8;11;3,54;5;1,8;0,58;65;0,61
184;9,3;0,079;0,21;0,997;6,7;8;3,52;6;1,9;0,58;62;0,62
185;9,7;0,111;0,57;0,9971;8,9;26;3,26;5;2;0,53;85;0,31
186;9,2;0,082;0,48;0,9972;7,4;14;3,34;5;2;0,55;67;0,39
187;9,7;0,084;0,1;0,9976;7,7;9;3,39;5;2,6;0,49;26;0,705
188;9,5;0,084;0,33;0,9968;7,9;15;3,2;5;2;0,55;143;0,5
189;9,5;0,082;0,32;0,9968;7,9;17;3,2;5;1,9;0,55;144;0,49
190;9,4;0,077;0,35;0,9976;8,2;21;3,23;5;2,9;0,62;127;0,5
191;9,8;0,074;0,25;0,9974;6,4;21;3,57;6;1,9;0,62;49;0,37
192;9,5;0,099;0,12;0,9969;6,8;16;3,28;5;3,8;0,61;126;0,63
193;9,7;0,071;0,21;0,9964;7,6;7;3,28;5;2,2;0,55;28;0,55
194;9,7;0,071;0,21;0,9964;7,6;7;3,28;5;2,2;0,55;28;0,55
195;9,4;0,074;0,33;0,9968;7,8;24;3,25;5;2;0,54;120;0,59
196;10,2;0,074;0,3;0,9968;7,3;15;3,46;5;2,4;0,59;55;0,58
197;10,1;0,067;0,6;0,9981;11,5;12;3,11;6;2;0,97;27;0,3
198;13;0,046;0,08;0,9924;5,4;13;3,57;7;1,2;0,85;93;0,835
199;11,4;0,061;0,06;0,9948;6,9;12;3,51;4;2,1;0,43;31;1,09
200;10,3;0,056;0,47;0,99695;9,6;9;3,22;7;1,4;0,82;24;0,32
201;9,3;0,097;0,48;0,9975;8,8;39;3,04;5;2,1;1,03;145;0,37
202;9,5;0,075;0,11;0,99545;6,8;16;3,36;5;1,5;0,79;49;0,5
203;9,2;0,088;0,35;0,9961;7;16;3,34;5;1,6;0,55;39;0,42
204;9,2;0,089;0,36;0,99615;7;14;3,34;6;1,6;0,56;37;0,43
205;10,8;0,095;0,74;0,9994;12,8;9;3,2;7;2,6;0,77;28;0,3
206;10,8;0,095;0,74;0,9994;12,8;9;3,2;7;2,6;0,77;28;0,3
207;9,3;0,069;0,31;0,99625;7,8;26;3,29;5;1,8;0,53;120;0,57
208;9,4;0,1;0,28;0,9966;7,8;18;3,22;5;2,7;0,67;95;0,44
209;10,5;0,054;0,58;0,998;11;7;3,31;7;2,1;0,88;19;0,3
210;12,4;0,039;0,6;0,99585;9,7;5;3,3;6;2;0,86;19;0,53
211;10;0,083;0,24;0,99685;8;10;3,35;6;2,8;0,56;62;0,725
212;10,2;0,059;0,64;0,998;11,6;5;3,21;6;2,1;0,67;15;0,44
213;10,1;0,06;0,26;0,9959;8,2;28;3,3;5;2,2;0,43;65;0,57
214;9,8;0,092;0,08;0,9974;7,8;10;3,24;6;2,4;0,71;41;0,735
215;10,5;0,06;0,49;0,9974;7;26;3,34;5;5,6;0,76;121;0,49
216;11;0,101;0,16;0,9962;8,7;13;3,14;5;2;0,57;49;0,625
217;9,1;0,072;0,22;0,9967;8,1;11;3,36;5;2,2;0,55;41;0,725
218;9,7;0,076;0,19;0,9957;7,5;10;3,39;5;1,9;0,54;44;0,49
219;9,5;0,08;0,33;0,99655;7,8;24;3,3;5;2,4;0,6;144;0,53
220;9,4;0,082;0,37;0,9964;7,8;24;3,34;6;2;0,59;58;0,34
221;9,4;0,101;0,26;0,9957;7,4;16;3,15;5;2;0,57;72;0,53
222;9,5;0,057;0,04;0,99525;6,8;5;3,42;5;1,5;0,6;10;0,61
223;10;0,083;0,25;0,99815;8,6;8;3,28;6;2;0,6;28;0,645
224;10,4;0,089;0,36;0,99745;8,4;15;3,31;4;2;0,57;55;0,635
225;10,5;0,073;0,25;0,99615;7,7;29;3,37;6;2,6;0,58;63;0,43
226;9,5;0,337;0,5;0,9964;8,9;27;3,04;6;2;1,61;81;0,59
227;9,8;0,089;0,14;0,9984;9;9;3,39;5;2,6;0,63;23;0,82
228;10,5;0,073;0,25;0,99615;7,7;29;3,37;6;2,6;0,58;63;0,43
229;11;0,081;0,25;0,99685;6,9;10;3,46;5;2,6;0,5;37;0,52
230;12,2;0,054;0,04;0,9927;5,2;19;3,54;7;1,6;0,62;106;0,48
231;9,9;0,078;0,06;0,99625;8;12;3,37;6;1,8;0,52;49;0,38
232;9,6;0,09;0,2;0,998;8,5;18;3,34;6;2,8;0,7;58;0,37
233;11;0,081;0,25;0,99685;6,9;10;3,46;5;2,6;0,5;37;0,52
234;9;0,065;0,09;0,99685;8,2;7;3,32;6;2,3;0,55;37;1
235;9;0,097;0;0,99675;7,2;14;3,37;6;1,9;0,58;38;0,63
236;9;0,097;0;0,99675;7,2;14;3,37;6;1,9;0,58;38;0,63
237;9,2;0,097;0;0,99675;7,2;15;3,37;6;1,9;0,58;39;0,645
238;9;0,097;0;0,99675;7,2;14;3,37;6;1,9;0,58;38;0,63
239;9;0,065;0,09;0,99685;8,2;7;3,32;6;2,3;0,55;37;1
240;9,3;0,263;0,37;0,9971;8,9;5;3;5;1,7;1,09;62;0,635
241;10,9;0,093;0,56;0,99925;12;6;3,14;6;2,1;0,71;24;0,38
242;9,8;0,102;0,1;0,99565;7,7;28;3,08;6;1,8;0,49;109;0,58
243;9,2;0,075;0,44;1,00005;15;10;3,07;7;2,2;0,84;24;0,21
244;9,2;0,075;0,44;1,00005;15;10;3,07;7;2,2;0,84;24;0,21
245;9,9;0,084;0;0,9983;7,3;6;3,61;6;2;0,96;23;0,66
246;9,5;0,075;0,07;0,99685;7,1;16;3,38;5;1,9;0,52;51;0,68
247;9,3;0,072;0,17;0,9963;8,2;11;3,2;5;2,3;0,45;73;0,6
248;9,8;0,074;0,06;0,99615;7,7;9;3,35;6;1,7;0,48;39;0,53
249;9,9;0,084;0;0,9983;7,3;6;3,61;6;2;0,96;23;0,66
250;10;0,063;0,44;0,9985;10,8;16;3,22;6;1,6;0,78;37;0,32
251;9,9;0,074;0;0,9972;7,1;16;3,47;6;1,8;0,7;34;0,6
252;10,5;0,09;0,48;0,9986;11,1;5;3,17;5;3,1;0,53;21;0,35
253;9,5;0,092;0,42;0,9959;7,7;8;3,23;5;1,9;0,59;86;0,775
254;9,9;0,074;0;0,9972;7,1;16;3,47;6;1,8;0,7;34;0,6
255;9,3;0,073;0,23;0,99675;8;17;3,26;5;3,2;0,57;119;0,57
256;9,2;0,075;0,37;0,998;9,4;5;3,22;5;2,2;0,62;13;0,34
257;9,2;0,075;0;0,9968;6,6;12;3,49;5;2,1;0,67;56;0,695
258;9,4;0,611;0,76;0,9968;7,7;8;3,06;5;1,8;1,26;45;0,41
259;10,5;0,085;0,47;0,99965;10;14;3,36;7;2,6;0,8;33;0,31
260;9,3;0,077;0,23;0,99625;7,9;18;3,29;5;1,7;0,65;45;0,33
261;9,4;0,087;0,04;0,99565;7;12;3,35;4;2;0,6;67;0,975
262;10;0,07;0,03;0,99575;8;10;3,34;5;1,7;0,57;35;0,52
263;9,3;0,077;0,23;0,9963;7,9;23;3,28;5;1,8;0,67;49;0,37
264;10,9;0,064;0,49;0,9999;12,5;5;3,08;5;2,4;0,87;27;0,56
265;10,2;0,071;0,52;0,9968;11,8;6;3,2;7;1,8;0,72;10;0,26
266;9,8;0,096;0;1,00025;8,1;26;3,6;4;3,3;0,72;61;0,87
267;12,8;0,078;0,46;0,9973;7,9;15;3,35;8;3,6;0,86;37;0,35
268;9,4;0,077;0,04;0,9987;6,9;7;3,69;6;3;0,91;27;0,54
269;10,1;0,104;0,51;0,9996;11,5;4;3,28;6;4;0,97;23;0,18
270;10,7;0,087;0,06;0,9965;7,9;27;3,36;6;4;0,67;61;0,545
271;10,1;0,104;0,51;0,9996;11,5;4;3,28;6;4;0,97;23;0,18
272;10,1;0,071;0,58;0,99935;10,9;17;3,22;5;4;0,78;65;0,37
273;9,4;0,076;0,2;0,99735;8,4;10;3,31;5;2,4;0,64;38;0,715
274;9,4;0,088;0,18;0,99915;7,5;27;3,38;5;7;0,77;94;0,65
